,0,1,2,3,4,5,6,7,8,9
0,0.0994,0.0,0.001,0.0,0.0,0.0004,0.0024,0.001,0.0014,0.0
1,0.0,0.1143,0.0032,0.0022,0.0,0.0011,0.0024,0.0013,0.0051,0.0
2,0.0017,0.0003,0.1041,0.0019,0.0007,0.0,0.0,0.0033,0.0044,0.0
3,0.0,0.0,0.0019,0.102,0.0,0.0026,0.0,0.0036,0.0024,0.0003
4,0.0013,0.0,0.0016,0.0003,0.0976,0.0,0.0042,0.002,0.0034,0.0131
5,0.002,0.0,0.0,0.0144,0.0,0.0887,0.0031,0.001,0.0007,0.0013
6,0.006,0.0021,0.001,0.001,0.001,0.006,0.0959,0.0,0.0021,0.0
7,0.0017,0.0015,0.0137,0.0051,0.0,0.0,0.0,0.1018,0.0027,0.0054
8,0.0037,0.0,0.0029,0.0074,0.0007,0.0015,0.0024,0.0023,0.097,0.0023
9,0.0044,0.0038,0.0003,0.0086,0.0045,0.0064,0.0,0.0078,0.0021,0.0991
