step relu_output_0
0 "Normal relu"
100 "Normal relu"
200 "Normal relu"
300 "Normal relu"
400 "Normal relu"
500 "Normal relu"
600 "Normal relu"
700 "Normal relu"
800 "Normal relu"
900 "Normal relu"
1000 "Normal relu"
1100 "Normal relu"
1200 "Normal relu"
1300 "Normal relu"
1400 "Normal relu"
1500 "Normal relu"
1600 "Normal relu"
1700 "Normal relu"
1800 "Normal relu"
1900 "Normal relu"
2000 "Normal relu"
2100 "Normal relu"
2200 "Normal relu"
2300 "Normal relu"
2400 "Normal relu"
2500 "Normal relu"
2600 "Normal relu"
2700 "Normal relu"
2800 "Normal relu"
