step sigmoid_output_0
0 "Normal Sigmoid"
100 "Normal Sigmoid"
200 "Normal Sigmoid"
300 "Normal Sigmoid"
400 "Normal Sigmoid"
500 "Normal Sigmoid"
600 "Normal Sigmoid"
700 "Normal Sigmoid"
800 "Normal Sigmoid"
900 "Normal Sigmoid"
1000 "Normal Sigmoid"
1100 "Normal Sigmoid"
1200 "Normal Sigmoid"
1300 "Normal Sigmoid"
1400 "Normal Sigmoid"
1500 "Normal Sigmoid"
1600 "Normal Sigmoid"
1700 "Normal Sigmoid"
1800 "Normal Sigmoid"
1900 "Normal Sigmoid"
2000 "Normal Sigmoid"
2100 "Normal Sigmoid"
2200 "Normal Sigmoid"
2300 "Normal Sigmoid"
2400 "Normal Sigmoid"
2500 "Normal Sigmoid"
2600 "Normal Sigmoid"
2700 "Normal Sigmoid"
2800 "Normal Sigmoid"
