step tanh_output_0
0 "Normal Tanh"
100 "Normal Tanh"
200 "Normal Tanh"
300 "Normal Tanh"
400 "Normal Tanh"
500 "Normal Tanh"
600 "Normal Tanh"
700 "Normal Tanh"
800 "Normal Tanh"
900 "Normal Tanh"
1000 "Normal Tanh"
1100 "Normal Tanh"
1200 "Normal Tanh"
1300 "Normal Tanh"
1400 "Normal Tanh"
1500 "Normal Tanh"
1600 "Normal Tanh"
1700 "Normal Tanh"
1800 "Normal Tanh"
1900 "Normal Tanh"
2000 "Normal Tanh"
2100 "Normal Tanh"
2200 "Normal Tanh"
2300 "Normal Tanh"
2400 "Normal Tanh"
2500 "Normal Tanh"
2600 "Normal Tanh"
2700 "Normal Tanh"
2800 "Normal Tanh"
