,0,1,2,3,4,5,6,7,8,9
0,0.1004,0.0,0.0,0.0,0.0,0.0011,0.001,0.0009,0.0011,0.0
1,0.0,0.1154,0.003,0.002,0.0,0.0,0.0021,0.0009,0.0053,0.0
2,0.0069,0.0018,0.1016,0.004,0.0021,0.0,0.001,0.0207,0.0064,0.0
3,0.002,0.0,0.004,0.1009,0.0,0.0079,0.0,0.0094,0.0032,0.003
4,0.001,0.0,0.001,0.0,0.0983,0.0,0.0052,0.0019,0.0032,0.0138
5,0.0059,0.0,0.001,0.005,0.0,0.0892,0.0042,0.0009,0.0042,0.0039
6,0.0088,0.0026,0.001,0.0,0.0031,0.0023,0.0965,0.0,0.0021,0.0
7,0.001,0.0026,0.0099,0.001,0.0,0.0,0.0,0.1035,0.0011,0.0059
8,0.0098,0.0,0.001,0.0079,0.0041,0.0011,0.0042,0.0103,0.0944,0.0168
9,0.0049,0.0053,0.0,0.006,0.0092,0.0057,0.0,0.0085,0.0,0.0997
