step Net_conv1.weight Net_conv2.weight Net_fc1.weight Net_fc2.weight
1900 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2000 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2100 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2200 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2300 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2400 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2500 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2600 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2700 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
2800 "Tensors changed properly" "Tensors changed properly" "Tensors changed properly" "Tensors changed properly"
